what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337179495566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337179584621
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337179605673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179608641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179617524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179619088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179642413
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337179644120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337179847900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337179858981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179860962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179868971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179869946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179888279
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337179890178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337179945473
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337179946812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179948653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179956445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337179957953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180003086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337180004707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337180102872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337180106918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180108491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180115987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180116756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180130732
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337180132339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180186213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180190729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180202086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180203008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180204570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180215050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180221489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180223423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180284549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337180340698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337181598687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337182052851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337182055760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337182060455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337182162905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337182210619
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182211236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182213168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182232762
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337182232822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182241464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182244264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182257867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337182315884
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337182318211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182328979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182340798
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182345696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337182456767
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182457415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182459974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182473446
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337182474680
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182483144
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337182487157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182491573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182500893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182530404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337182586811
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182587400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182589876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182598186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182599422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182624237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182625756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337182685539
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182686766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182689204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182697778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182698773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182713103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182713816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182716987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182718921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1337182754878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182756767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182758683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182766238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182767139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337182806969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337182810421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337183083983
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337183103653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337183107748
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337183124850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337183126836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337183137186
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337183137227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337183143203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337184241207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337184327811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337184340691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337184428860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337184548078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337184551832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337184553113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337184553996
