what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.7",1337291951632
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337291951632
java.vm.version,sysinfo,,,"22.1-b02",1337291951632
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1337291951670
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1337291952063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292091975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292547705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292548557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292570160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292585239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292627417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292629379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292630933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292633069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292864345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292865168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292971784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337292976317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293005576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293010993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293018840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293020047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293201949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293205140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293245788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293248794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293462225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293467543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337293889412
